Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1970-01-02,0.30426,0.30426,0.30426,0.30426,2457275
1970-01-05,0.30426,0.31559,0.30426,0.31179,6261000
1970-01-06,0.31179,0.31179,0.30792,0.30792,4476948
1970-01-07,0.31179,0.31179,0.31179,0.31179,1885028
1970-01-08,0.31179,0.31559,0.31179,0.31179,4308650
1970-01-09,0.31179,0.31559,0.31179,0.31559,1615738
1970-01-12,0.31559,0.3232,0.31559,0.3232,740551
1970-01-13,0.3232,0.327,0.31941,0.31941,3467116
1970-01-14,0.31941,0.3232,0.31559,0.31941,3904715
1970-01-15,0.31941,0.327,0.31941,0.327,2322627
1970-01-16,0.327,0.327,0.31179,0.3232,8112382
1970-01-19,0.3232,0.3232,0.31941,0.31941,3736413
1970-01-20,0.31941,0.327,0.31941,0.327,2457275
1970-01-21,0.327,0.327,0.3232,0.327,1413773
1970-01-22,0.327,0.327,0.3232,0.327,1952360
1970-01-23,0.3232,0.3232,0.31941,0.31941,1009838
1970-01-26,0.31941,0.31941,0.31559,0.31559,8213360
1970-01-27,0.31559,0.31559,0.30792,0.30792,9526157
1970-01-28,0.30792,0.31179,0.30426,0.30426,2524603
1970-01-29,0.30426,0.31559,0.29664,0.30035,11512170
1970-01-30,0.30035,0.30035,0.29664,0.29664,2053343
1970-02-02,0.29664,0.30426,0.29664,0.29664,2524603
1970-02-03,0.29664,0.29664,0.28516,0.29664,7270845
1970-02-04,0.29664,0.30792,0.29273,0.29273,3736413
1970-02-05,0.28904,0.28904,0.28137,0.28516,4005696
1970-02-06,0.28516,0.30035,0.28516,0.30035,8314344
1970-02-09,0.30035,0.30035,0.29664,0.29664,2894872
1970-02-10,0.29664,0.29664,0.29664,0.29664,1144479
1970-02-11,0.29664,0.30426,0.29664,0.30035,4274988
1970-02-12,0.30035,0.30426,0.30035,0.30035,2995853
1970-02-13,0.30035,0.30035,0.30035,0.30035,1851374
1970-02-16,0.30426,0.30792,0.30426,0.30792,4577939
1970-02-17,0.30792,0.31559,0.30792,0.30792,1952360
1970-02-18,0.30792,0.31179,0.30792,0.31179,1683061
1970-02-19,0.30792,0.30792,0.28904,0.28904,5587784
1970-02-20,0.28904,0.29273,0.28516,0.28904,12219057
1970-02-24,0.28904,0.29273,0.28904,0.29273,3904715
1970-02-25,0.29273,0.29664,0.29273,0.29273,3669084
1970-02-26,0.29273,0.29273,0.29273,0.29273,2322627
1970-02-27,0.29273,0.29664,0.29273,0.29664,4577939
1970-03-02,0.29664,0.30035,0.28137,0.28137,5116517
1970-03-03,0.28137,0.28137,0.2738,0.28137,7001555
1970-03-04,0.28137,0.28904,0.28137,0.28516,8314344
1970-03-05,0.28516,0.28516,0.28137,0.28137,8415327
1970-03-06,0.28137,0.28137,0.28137,0.28137,3938373
1970-03-09,0.27759,0.27759,0.27004,0.27004,8516312
1970-03-10,0.27004,0.2738,0.27004,0.2738,2928537
1970-03-11,0.2738,0.2738,0.2738,0.2738,3433450
1970-03-12,0.2738,0.2738,0.27004,0.27004,2928537
1970-03-13,0.27004,0.27004,0.27004,0.27004,2423619
1970-03-16,0.27004,0.27004,0.27004,0.27004,1514757
1970-03-17,0.27004,0.27759,0.27004,0.27759,1851374
1970-03-18,0.27759,0.28137,0.27759,0.27759,6193680
1970-03-19,0.2738,0.2738,0.27004,0.2738,7573800
1970-03-20,0.27004,0.27004,0.27004,0.27004,2070168
1970-03-23,0.27004,0.27004,0.26242,0.26242,4864058
1970-03-24,0.26242,0.26615,0.26242,0.26242,4678929
1970-03-25,0.26242,0.26615,0.26242,0.26615,2575086
1970-03-26,0.26615,0.27004,0.26615,0.26615,2726567
1970-03-30,0.26615,0.26615,0.2586,0.26242,3685913
1970-03-31,0.26242,0.26242,0.2586,0.26242,2389956
1970-04-01,0.26242,0.27004,0.26242,0.27004,3871051
1970-04-02,0.27004,0.2738,0.26615,0.27004,15231745
1970-04-03,0.27004,0.27004,0.26615,0.26615,5268008
1970-04-06,0.26615,0.26615,0.24712,0.24712,7472810
1970-04-07,0.24712,0.25098,0.23948,0.24343,4291815
1970-04-08,0.24343,0.25098,0.24343,0.24712,3500776
1970-04-09,0.24712,0.25098,0.24712,0.24712,4342310
1970-04-10,0.24712,0.25481,0.24712,0.25481,2625583
1970-04-13,0.25481,0.25481,0.25481,0.25481,1733558
1970-04-14,0.25481,0.25481,0.25098,0.25481,2709739
1970-04-15,0.25481,0.26242,0.25098,0.25098,2911701
1970-04-16,0.25098,0.25098,0.24343,0.24343,3147333
1970-04-17,0.23948,0.23948,0.23948,0.23948,2625583
1970-04-20,0.23948,0.23948,0.23948,0.23948,3887879
1970-04-21,0.23948,0.23948,0.23583,0.23583,1885028
1970-04-22,0.23583,0.23948,0.22818,0.22818,2389956
1970-04-23,0.22818,0.23189,0.2243,0.22818,2389956
1970-04-24,0.22818,0.23583,0.22818,0.23583,3871051
1970-04-27,0.23189,0.23189,0.22818,0.23189,3265146
1970-04-28,0.23189,0.24343,0.23189,0.23189,2474106
1970-04-29,0.23189,0.2586,0.23189,0.2586,4763075
1970-04-30,0.2586,0.2586,0.23583,0.24343,3366134
1970-05-01,0.24343,0.25098,0.23948,0.24343,1885028
1970-05-04,0.23583,0.23583,0.22049,0.22818,3467116
1970-05-05,0.2243,0.2243,0.21687,0.21687,6446138
1970-05-06,0.21687,0.22818,0.20911,0.20911,5655101
1970-05-07,0.20911,0.21687,0.20911,0.20911,2053343
1970-05-08,0.20911,0.21296,0.20147,0.2054,3315638
1970-05-11,0.2054,0.20911,0.2054,0.2054,3096846
1970-05-12,0.2054,0.2054,0.20147,0.20147,5082863
1970-05-13,0.19777,0.19777,0.19388,0.19388,3467116
1970-05-14,0.19388,0.19777,0.1826,0.19777,8987573
1970-05-15,0.19777,0.19777,0.18632,0.19777,8028223
1970-05-18,0.19388,0.19388,0.19013,0.19388,2019681
1970-05-19,0.19013,0.19013,0.16732,0.16732,8701453
1970-05-20,0.16732,0.17113,0.15976,0.1635,8230193
1970-05-21,0.1635,0.17113,0.15976,0.16732,5335320
1970-05-22,0.16732,0.17486,0.15976,0.1635,3685913
1970-05-25,0.15976,0.15976,0.15976,0.15976,2070168
1970-05-26,0.15976,0.17486,0.15976,0.1635,4594764
1970-05-27,0.1635,0.1826,0.1635,0.1826,4241324
1970-05-28,0.1826,0.1826,0.17113,0.17486,3786895
1970-05-29,0.17486,0.17486,0.1635,0.17113,2793884
1970-06-01,0.17113,0.19013,0.16732,0.18632,7153027
1970-06-02,0.18632,0.2054,0.18632,0.19777,14625847
1970-06-03,0.19777,0.19777,0.18632,0.19013,4443296
1970-06-04,0.18632,0.18632,0.17874,0.17874,5789747
1970-06-05,0.17874,0.17874,0.16732,0.16732,4476948
1970-06-08,0.16732,0.17486,0.1635,0.16732,2659245
1970-06-09,0.16732,0.16732,0.15976,0.1635,2255307
1970-06-10,0.1635,0.1635,0.15587,0.15976,2793884
1970-06-11,0.15587,0.15587,0.14826,0.14826,3551271
1970-06-12,0.14826,0.15204,0.14449,0.15204,2204815
1970-06-15,0.15204,0.15587,0.15204,0.15587,2238472
1970-06-16,0.15587,0.1635,0.15204,0.15587,6042205
1970-06-17,0.15587,0.15976,0.15587,0.15587,2389956
1970-06-18,0.15587,0.15976,0.14826,0.15587,4965047
1970-06-19,0.15976,0.1635,0.15976,0.1635,3551271
1970-06-22,0.15976,0.15976,0.15587,0.15587,2053343
1970-06-23,0.15587,0.15587,0.14449,0.14449,2709739
1970-06-24,0.14449,0.14449,0.14449,0.14449,3130501
1970-06-25,0.14449,0.14449,0.1407,0.1407,6833247
1970-06-26,0.1407,0.14449,0.1407,0.1407,1918695
1970-06-29,0.1407,0.1407,0.13308,0.13308,2844386
1970-06-30,0.13308,0.1407,0.13308,0.1407,4073016
1970-07-01,0.13687,0.13687,0.12164,0.12164,4258153
1970-07-02,0.12164,0.12927,0.12164,0.12164,3584932
1970-07-06,0.12164,0.12556,0.12164,0.12164,2187981
1970-07-07,0.12164,0.12556,0.11789,0.12164,3652256
1970-07-08,0.12164,0.13308,0.11789,0.13308,7388667
1970-07-09,0.13308,0.13687,0.12927,0.13308,2726567
1970-07-10,0.13308,0.13687,0.13308,0.13687,3265146
1970-07-13,0.13687,0.1407,0.13308,0.13308,1733558
1970-07-14,0.13308,0.13308,0.12164,0.12164,2558261
1970-07-15,0.12164,0.12164,0.12164,0.12164,2844386
1970-07-16,0.12164,0.13308,0.12164,0.12927,3584932
1970-07-17,0.12927,0.12927,0.12927,0.12927,3147333
1970-07-20,0.12927,0.13687,0.12927,0.13308,1211808
1970-07-21,0.13308,0.13308,0.12556,0.12556,6631278
1970-07-22,0.12556,0.13687,0.12556,0.12556,1952360
1970-07-23,0.12927,0.13687,0.12927,0.13308,3467116
1970-07-24,0.13308,0.13308,0.12927,0.12927,2575086
1970-07-27,0.13308,0.13687,0.13308,0.13687,2339466
1970-07-28,0.13687,0.13687,0.13308,0.13308,2339466
1970-07-29,0.13308,0.13687,0.13308,0.13308,1077161
1970-07-30,0.13308,0.13308,0.13308,0.13308,2524603
1970-07-31,0.13308,0.13687,0.13308,0.13308,2339466
1970-08-03,0.13308,0.13687,0.12927,0.13687,3180994
1970-08-04,0.13687,0.13687,0.13308,0.13308,740551
1970-08-05,0.13308,0.13687,0.13308,0.13687,3736413
1970-08-06,0.13687,0.13687,0.12927,0.13308,2305799
1970-08-07,0.13308,0.13308,0.12927,0.12927,942515
1970-08-10,0.12927,0.12927,0.12556,0.12556,1969188
1970-08-11,0.12556,0.12556,0.11789,0.11789,3231483
1970-08-12,0.11789,0.11789,0.11407,0.11789,1683061
1970-08-13,0.11789,0.11789,0.11407,0.11407,1531592
1970-08-14,0.11789,0.11789,0.11789,0.11789,2389956
1970-08-17,0.11789,0.12164,0.11789,0.11789,1817717
1970-08-18,0.12164,0.12556,0.12164,0.12164,2423619
1970-08-19,0.12164,0.12556,0.11789,0.12164,1413773
1970-08-20,0.12164,0.12927,0.11789,0.12927,2070168
1970-08-21,0.12927,0.13687,0.12927,0.13687,4678929
1970-08-24,0.13687,0.14449,0.13687,0.14449,4443296
1970-08-25,0.14449,0.15204,0.1407,0.15204,4207661
1970-08-26,0.15204,0.15976,0.15204,0.15587,2793884
1970-08-27,0.15587,0.15587,0.15204,0.15204,4106675
1970-08-28,0.15204,0.15587,0.15204,0.15587,2070168
1970-08-31,0.15587,0.15976,0.15587,0.15587,2255307
1970-09-01,0.15204,0.15204,0.14449,0.14826,1497930
1970-09-02,0.14826,0.14826,0.14449,0.14449,2490939
1970-09-03,0.14449,0.14826,0.14449,0.14449,3214658
1970-09-04,0.14449,0.15204,0.14449,0.14826,3551271
1970-09-08,0.14826,0.15204,0.14826,0.15204,1733558
1970-09-09,0.15204,0.15587,0.14826,0.15587,2474106
1970-09-10,0.15587,0.15587,0.15204,0.15587,1969188
1970-09-11,0.15587,0.15976,0.15587,0.15587,5150186
1970-09-14,0.15587,0.15587,0.15204,0.15204,2238472
1970-09-15,0.14826,0.14826,0.14449,0.14826,2070168
1970-09-16,0.14826,0.15204,0.14449,0.15204,5183842
1970-09-17,0.15204,0.15204,0.14826,0.14826,2019681
1970-09-18,0.14826,0.15204,0.14449,0.14449,1834541
1970-09-21,0.14826,0.14826,0.14826,0.14826,6883740
1970-09-22,0.14826,0.15204,0.14826,0.14826,3467116
1970-09-23,0.14826,0.15204,0.14826,0.15204,2238472
1970-09-24,0.15204,0.15204,0.14826,0.15204,6277838
1970-09-25,0.15204,0.15587,0.15204,0.15204,5739255
1970-09-28,0.15204,0.17113,0.15204,0.16732,9492490
1970-09-29,0.16732,0.17113,0.15976,0.16732,14120920
1970-09-30,0.16732,0.16732,0.15976,0.15976,6075870
1970-10-01,0.15976,0.1635,0.15587,0.15587,5015538
1970-10-02,0.15976,0.17113,0.15976,0.17113,2945362
1970-10-05,0.17486,0.17874,0.17486,0.17486,4123515
1970-10-06,0.17486,0.17874,0.17486,0.17874,4577939
1970-10-07,0.17874,0.17874,0.17113,0.17113,3753236
1970-10-08,0.17113,0.17113,0.15976,0.15976,2558261
1970-10-09,0.1635,0.16732,0.1635,0.16732,1868203
1970-10-12,0.16732,0.16732,0.1635,0.16732,1582089
1970-10-13,0.16732,0.16732,0.15976,0.1635,2389956
1970-10-14,0.1635,0.16732,0.15976,0.16732,5503620
1970-10-15,0.16732,0.16732,0.1635,0.1635,3938373
1970-10-16,0.1635,0.16732,0.15976,0.15976,2053343
1970-10-19,0.15976,0.15976,0.14826,0.14826,2238472
1970-10-20,0.14826,0.15587,0.14826,0.15204,1952360
1970-10-21,0.15204,0.1635,0.15204,0.15976,2373129
1970-10-22,0.15976,0.1635,0.15587,0.1635,2373129
1970-10-23,0.1635,0.16732,0.1635,0.1635,2288974
1970-10-26,0.1635,0.1635,0.15976,0.15976,1868203
1970-10-27,0.15976,0.15976,0.15587,0.15587,1649403
1970-10-28,0.15587,0.15587,0.15587,0.15587,8146036
1970-10-29,0.15587,0.1635,0.15204,0.15976,5570946
1970-10-30,0.15976,0.15976,0.15587,0.15587,5049195
1970-11-02,0.15587,0.1635,0.15587,0.1635,1497930
1970-11-03,0.1635,0.1635,0.15976,0.15976,2726567
1970-11-04,0.15976,0.15976,0.15587,0.15976,2019681
1970-11-05,0.15976,0.15976,0.15587,0.15976,1885028
1970-11-06,0.15976,0.15976,0.15204,0.15204,3702741
1970-11-09,0.15204,0.15587,0.15204,0.15587,2844386
1970-11-10,0.15587,0.15587,0.15204,0.15204,3685913
1970-11-11,0.15204,0.15587,0.15204,0.15204,841529
1970-11-12,0.15204,0.15204,0.14826,0.14826,3551271
1970-11-13,0.14826,0.14826,0.14826,0.14826,2204815
1970-11-17,0.14826,0.14826,0.14826,0.14826,2659245
1970-11-18,0.14826,0.14826,0.14449,0.14826,3366134
1970-11-19,0.14826,0.15204,0.14826,0.15204,3921546
1970-11-20,0.15204,0.15976,0.14826,0.15976,5756081
1970-11-23,0.15976,0.15976,0.15204,0.15204,3938373
1970-11-24,0.15204,0.15204,0.14826,0.14826,9172709
1970-11-25,0.14826,0.15204,0.14826,0.14826,2187981
1970-11-27,0.14826,0.15204,0.14826,0.15204,2474106
1970-11-30,0.15204,0.15204,0.14826,0.15204,7304508
1970-12-01,0.15204,0.15587,0.14826,0.14826,3837387
1970-12-02,0.14826,0.15976,0.14826,0.15587,6025378
1970-12-03,0.15587,0.1635,0.15204,0.15587,9391505
1970-12-04,0.15587,0.16732,0.15587,0.16732,15652510
1970-12-07,0.16732,0.17486,0.16732,0.17486,8566802
1970-12-08,0.17486,0.18632,0.17113,0.17113,10737965
1970-12-09,0.17113,0.17486,0.16732,0.17486,4123515
1970-12-10,0.17486,0.17874,0.17486,0.17486,8129209
1970-12-11,0.17486,0.17874,0.17486,0.17874,6816416
1970-12-14,0.17874,0.17874,0.17486,0.17486,5385812
1970-12-15,0.17486,0.17874,0.17113,0.17486,3921546
1970-12-16,0.17486,0.17874,0.17486,0.17874,1767219
1970-12-17,0.17874,0.1826,0.17486,0.1826,4123515
1970-12-18,0.1826,0.1826,0.17486,0.17486,13801138
1970-12-21,0.17486,0.17486,0.16732,0.17113,2608752
1970-12-22,0.17113,0.17486,0.17113,0.17113,1885028
1970-12-23,0.17113,0.17113,0.17113,0.17113,1043498
1970-12-24,0.17113,0.17486,0.17113,0.17113,3467116
1970-12-28,0.17113,0.17486,0.17113,0.17486,925691
1970-12-29,0.17486,0.17486,0.17113,0.17486,4174009
1970-12-30,0.17486,0.17874,0.17486,0.17486,2575086
1970-12-31,0.17486,0.17874,0.17486,0.17874,757381
1971-01-04,0.17874,0.17874,0.17486,0.17486,2255307
1971-01-05,0.17486,0.17874,0.17486,0.17874,1885028
1971-01-06,0.17874,0.1826,0.17874,0.1826,3584932
1971-01-07,0.1826,0.18632,0.1826,0.1826,4022527
1971-01-08,0.1826,0.1826,0.17874,0.1826,3366134
1971-01-11,0.1826,0.18632,0.1826,0.18632,3366134
1971-01-12,0.18632,0.19013,0.18632,0.19013,2305799
1971-01-13,0.19013,0.19777,0.19013,0.19013,1716736
1971-01-14,0.19013,0.19388,0.18632,0.19388,2070168
1971-01-15,0.19388,0.20147,0.19013,0.19777,4392799
1971-01-18,0.19777,0.19777,0.19388,0.19388,1447438
1971-01-19,0.19388,0.19777,0.19388,0.19777,2440439
1971-01-20,0.19388,0.19388,0.19013,0.19388,1043498
1971-01-21,0.19388,0.19777,0.19013,0.19388,2810715
1971-01-22,0.19777,0.20147,0.19777,0.19777,2575086
1971-01-25,0.20147,0.2054,0.20147,0.20147,1952360
1971-01-26,0.20147,0.2054,0.20147,0.2054,2238472
1971-01-27,0.2054,0.2054,0.20147,0.2054,6967892
1971-01-28,0.2054,0.2054,0.20147,0.20147,7102534
1971-01-29,0.20147,0.2054,0.20147,0.20147,993012
1971-02-01,0.20147,0.2054,0.20147,0.20147,3517612
1971-02-02,0.20147,0.2054,0.20147,0.2054,3450279
1971-02-03,0.2054,0.21296,0.2054,0.20911,1716736
1971-02-04,0.20911,0.21296,0.20911,0.21296,2373129
1971-02-05,0.21296,0.21296,0.20911,0.21296,2861213
1971-02-08,0.21296,0.21296,0.20911,0.21296,3180994
1971-02-09,0.21296,0.22049,0.20911,0.22049,3584932
1971-02-10,0.22049,0.22049,0.21296,0.21687,4241324
1971-02-11,0.21687,0.22049,0.21687,0.21687,1834541
1971-02-12,0.21687,0.22049,0.21687,0.22049,2389956
1971-02-16,0.22049,0.22818,0.21296,0.21296,4678929
1971-02-17,0.21296,0.22049,0.21296,0.21687,2676079
1971-02-18,0.21687,0.21687,0.21296,0.21296,1110822
1971-02-19,0.21296,0.21687,0.21296,0.21296,2255307
1971-02-22,0.21296,0.21296,0.20911,0.20911,3972037
1971-02-23,0.20911,0.21687,0.20911,0.21296,1582089
1971-02-24,0.21296,0.22049,0.21296,0.21687,2339466
1971-02-25,0.21687,0.21687,0.21296,0.21296,2995853
1971-02-26,0.21296,0.21687,0.21296,0.21296,1464269
1971-03-01,0.21296,0.21687,0.21296,0.21687,3096846
1971-03-02,0.21687,0.21687,0.21296,0.21687,2187981
1971-03-03,0.21296,0.21296,0.21296,0.21296,1733558
1971-03-04,0.21296,0.22049,0.20911,0.22049,3887879
1971-03-05,0.22818,0.23948,0.22818,0.23948,3871051
1971-03-08,0.23948,0.23948,0.23189,0.23583,4544280
1971-03-09,0.23189,0.23189,0.22818,0.22818,1969188
1971-03-10,0.22818,0.23583,0.22818,0.23583,2238472
1971-03-11,0.23583,0.24343,0.23583,0.23583,3635417
1971-03-12,0.23583,0.24712,0.23583,0.24712,6160026
1971-03-15,0.24712,0.25481,0.24712,0.25481,1716736
1971-03-16,0.25481,0.26615,0.25481,0.26615,4241324
1971-03-17,0.26615,0.26615,0.2586,0.26242,5284830
1971-03-18,0.26242,0.26615,0.2586,0.2586,20381927
1971-03-19,0.25481,0.25481,0.24343,0.25098,1767219
1971-03-22,0.25098,0.25098,0.24712,0.24712,2558261
1971-03-23,0.24712,0.24712,0.23948,0.24343,4729417
1971-03-24,0.24343,0.24343,0.23948,0.23948,5941219
1971-03-25,0.23948,0.24712,0.23189,0.24712,5924393
1971-03-26,0.24343,0.24343,0.23948,0.23948,2238472
1971-03-29,0.23583,0.23583,0.23189,0.23583,6631278
1971-03-30,0.23583,0.23583,0.23189,0.23189,4712584
1971-03-31,0.23189,0.23583,0.23189,0.23189,4258153
1971-04-01,0.23189,0.23189,0.22818,0.22818,4106675
1971-04-02,0.22818,0.23189,0.22818,0.23189,1834541
1971-04-05,0.23189,0.23583,0.2243,0.2243,2019681
1971-04-06,0.2243,0.23189,0.22049,0.23189,4291815
1971-04-07,0.23189,0.23948,0.23189,0.23583,7287677
1971-04-08,0.23583,0.23948,0.23583,0.23948,5049195
1971-04-12,0.23948,0.24712,0.23583,0.24712,5183842
1971-04-13,0.24712,0.25481,0.24712,0.24712,4157169
1971-04-14,0.24712,0.24712,0.23583,0.24343,1885028
1971-04-15,0.24343,0.24343,0.23583,0.23948,3652256
1971-04-16,0.23948,0.23948,0.23583,0.23583,3147333
1971-04-19,0.23583,0.23948,0.23583,0.23583,1262300
1971-04-20,0.23583,0.23583,0.22818,0.22818,2793884
1971-04-21,0.22818,0.22818,0.2243,0.22818,1447438
1971-04-22,0.22818,0.23189,0.22818,0.23189,1683061
1971-04-23,0.23189,0.23583,0.23189,0.23583,4241324
1971-04-26,0.23583,0.23583,0.23189,0.23189,2070168
1971-04-27,0.23189,0.23583,0.23189,0.23583,2423619
1971-04-28,0.23583,0.24343,0.23189,0.23948,9223200
1971-04-29,0.23948,0.23948,0.23583,0.23583,2709739
1971-04-30,0.23583,0.23583,0.23189,0.23583,5520462
1971-05-03,0.23189,0.23189,0.22818,0.23189,2524603
1971-05-04,0.23189,0.23583,0.23189,0.23583,1127658
1971-05-05,0.23583,0.23583,0.23583,0.23583,1767219
1971-05-06,0.23948,0.24712,0.23948,0.23948,3601762
1971-05-07,0.23948,0.23948,0.23189,0.23583,3180994
1971-05-10,0.23583,0.23583,0.23189,0.23189,1784052
1971-05-11,0.23189,0.23189,0.22818,0.22818,2002847
1971-05-12,0.22818,0.22818,0.22818,0.22818,1784052
1971-05-13,0.22818,0.22818,0.22818,0.22818,1161315
1971-05-14,0.22818,0.23189,0.21687,0.22818,4005696
1971-05-17,0.2243,0.2243,0.21687,0.21687,2103834
1971-05-18,0.21687,0.2243,0.21687,0.2243,1868203
1971-05-19,0.2243,0.23583,0.2243,0.23189,1834541
1971-05-20,0.23189,0.23948,0.23189,0.23948,1952360
1971-05-21,0.23948,0.23948,0.23583,0.23583,2288974
1971-05-24,0.23583,0.23583,0.23189,0.23189,2255307
1971-05-25,0.23189,0.23583,0.22049,0.23189,4207661
1971-05-26,0.23189,0.23583,0.23189,0.23189,1295966
1971-05-27,0.23189,0.23583,0.23189,0.23189,1582089
1971-05-28,0.23189,0.23583,0.23189,0.23189,2255307
1971-06-01,0.23583,0.23948,0.23583,0.23583,1447438
1971-06-02,0.23583,0.24343,0.23583,0.23948,2625583
1971-06-03,0.23948,0.24343,0.23948,0.23948,1228635
1971-06-04,0.23948,0.24343,0.23948,0.24343,5941219
1971-06-07,0.24343,0.24712,0.24343,0.24712,2137493
1971-06-08,0.24712,0.25098,0.24712,0.25098,1885028
1971-06-09,0.25098,0.25098,0.25098,0.25098,1767219
1971-06-10,0.25098,0.2586,0.25098,0.25481,4174009
1971-06-11,0.25481,0.25481,0.25481,0.25481,1447438
1971-06-14,0.25481,0.25481,0.25098,0.25098,4056192
1971-06-15,0.25098,0.25481,0.25098,0.25481,1733558
1971-06-16,0.25481,0.2586,0.25481,0.25481,2255307
1971-06-17,0.25481,0.2586,0.25481,0.25481,1161315
1971-06-18,0.25481,0.2586,0.25481,0.25481,4022527
1971-06-21,0.24343,0.24343,0.23583,0.23583,3921546
1971-06-22,0.23583,0.23583,0.23583,0.23583,3046353
1971-06-23,0.23948,0.24343,0.23948,0.24343,2440439
1971-06-24,0.24343,0.24343,0.24343,0.24343,1363284
1971-06-25,0.24343,0.24343,0.24343,0.24343,1077161
1971-06-28,0.24343,0.24343,0.23583,0.23948,1363284
1971-06-29,0.23948,0.23948,0.23583,0.23583,656393
1971-06-30,0.23583,0.24343,0.23583,0.23583,3500776
1971-07-01,0.23583,0.23948,0.23583,0.23583,1447438
1971-07-02,0.23583,0.23583,0.23189,0.23583,1531592
1971-07-06,0.23583,0.23583,0.23189,0.23583,1396943
1971-07-07,0.23583,0.23583,0.23583,0.23583,925691
1971-07-08,0.23583,0.24343,0.23583,0.23948,2255307
1971-07-09,0.23948,0.24343,0.23583,0.23583,1733558
1971-07-12,0.23583,0.23948,0.23583,0.23948,2373129
1971-07-13,0.23948,0.24343,0.23948,0.23948,2204815
1971-07-14,0.23948,0.24343,0.23948,0.23948,1632570
1971-07-15,0.23948,0.24343,0.23948,0.24343,2760228
1971-07-16,0.24343,0.24712,0.24343,0.24343,1178146
1971-07-19,0.23948,0.23948,0.23583,0.23948,1396943
1971-07-20,0.24343,0.24712,0.24343,0.24343,1817717
1971-07-21,0.24343,0.24343,0.24343,0.24343,993012
1971-07-22,0.24343,0.24343,0.23583,0.23583,2288974
1971-07-23,0.23583,0.23583,0.23189,0.23189,1161315
1971-07-26,0.23189,0.23189,0.23189,0.23189,3315638
1971-07-27,0.23189,0.23189,0.23189,0.23189,1868203
1971-07-28,0.2243,0.2243,0.22049,0.22049,942515
1971-07-29,0.22049,0.2243,0.21687,0.21687,2103834
1971-07-30,0.2243,0.23189,0.2243,0.22818,2709739
1971-08-02,0.22818,0.23189,0.22818,0.23189,2137493
1971-08-03,0.23189,0.23189,0.22049,0.22049,3281981
1971-08-04,0.22049,0.2243,0.22049,0.22049,1649403
1971-08-05,0.22049,0.2243,0.22049,0.2243,1767219
1971-08-06,0.2243,0.22818,0.2243,0.2243,1497930
1971-08-09,0.2243,0.2243,0.22049,0.2243,1447438
1971-08-10,0.2243,0.2243,0.2243,0.2243,2844386
1971-08-11,0.2243,0.23189,0.2243,0.23189,1497930
1971-08-12,0.23189,0.23948,0.23189,0.23583,2204815
1971-08-13,0.23583,0.23583,0.23189,0.23583,976178
1971-08-16,0.24712,0.27004,0.24712,0.25098,12673488
1971-08-17,0.25098,0.25098,0.24343,0.24712,5941219
1971-08-18,0.24712,0.24712,0.24343,0.24712,1683061
1971-08-19,0.24712,0.24712,0.24343,0.24343,2070168
1971-08-20,0.24343,0.24712,0.23583,0.23948,7052046
1971-08-23,0.23948,0.24712,0.23948,0.24712,1649403
1971-08-24,0.24712,0.25098,0.23948,0.25098,2490939
1971-08-25,0.25098,0.25481,0.24712,0.24712,2255307
1971-08-26,0.24712,0.24712,0.24343,0.24343,1784052
1971-08-27,0.24343,0.24712,0.24343,0.24343,622736
1971-08-30,0.24343,0.24343,0.23583,0.23583,4174009
1971-08-31,0.23189,0.23189,0.22818,0.23189,791039
1971-09-01,0.23189,0.23189,0.22049,0.22049,1733558
1971-09-02,0.22049,0.2243,0.22049,0.2243,1733558
1971-09-03,0.2243,0.23189,0.2243,0.23189,2070168
1971-09-07,0.23189,0.23189,0.2243,0.22818,3130501
1971-09-08,0.22818,0.23189,0.22818,0.22818,1952360
1971-09-09,0.22818,0.23189,0.22818,0.23189,2204815
1971-09-10,0.23189,0.24343,0.22818,0.24343,2070168
1971-09-13,0.24343,0.24343,0.23948,0.24343,2911701
1971-09-14,0.24343,0.24712,0.23583,0.23583,841529
1971-09-15,0.23583,0.23948,0.23189,0.23948,791039
1971-09-16,0.23948,0.24343,0.23948,0.23948,1346453
1971-09-17,0.23948,0.24343,0.23948,0.24343,2053343
1971-09-20,0.24343,0.24343,0.24343,0.24343,1295966
1971-09-21,0.24712,0.25098,0.24712,0.24712,3635417
1971-09-22,0.24712,0.2586,0.24712,0.25481,5604618
1971-09-23,0.25481,0.25481,0.25481,0.25481,3837387
1971-09-24,0.25481,0.2586,0.25481,0.25481,1969188
1971-09-27,0.25481,0.25481,0.25098,0.25098,2844386
1971-09-28,0.25098,0.2586,0.25098,0.25481,2524603
1971-09-29,0.25481,0.26242,0.25481,0.26242,2726567
1971-09-30,0.26242,0.26615,0.26242,0.26615,7439139
1971-10-01,0.26615,0.26615,0.2586,0.26615,3652256
1971-10-04,0.26615,0.27004,0.26615,0.27004,3130501
1971-10-05,0.27004,0.27004,0.26615,0.27004,2154328
1971-10-06,0.27004,0.27759,0.27004,0.2738,3551271
1971-10-07,0.2738,0.27759,0.27004,0.2738,7018392
1971-10-08,0.2738,0.27759,0.2738,0.2738,4359144
1971-10-11,0.2738,0.2738,0.27004,0.27004,1868203
1971-10-12,0.27004,0.27004,0.26242,0.26242,2861213
1971-10-13,0.26242,0.26615,0.26242,0.26242,925691
