Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1990-03-26,0.0655,0.0655,0.0655,0.0655,51799465
1990-03-27,0.0655,0.07393,0.0655,0.07393,20473958
1990-03-28,0.07393,0.07393,0.07393,0.07393,12747936
1990-03-29,0.07393,0.07393,0.0655,0.07393,21141207
1990-03-30,0.0655,0.0655,0.0655,0.0655,36979551
1990-04-02,0.0655,0.0655,0.0655,0.0655,20368601
1990-04-03,0.0655,0.0655,0.0655,0.0655,11975337
1990-04-04,0.0655,0.0655,0.0655,0.0655,19315056
1990-04-05,0.0655,0.0655,0.0655,0.0655,11905094
1990-04-06,0.0655,0.0655,0.0655,0.0655,14609203
1990-04-09,0.0655,0.0655,0.0655,0.0655,8779571
1990-04-10,0.0655,0.0655,0.05743,0.0655,42598477
1990-04-11,0.0655,0.0655,0.0655,0.0655,31430861
1990-04-12,0.0655,0.0655,0.0655,0.0655,17172837
1990-04-16,0.0655,0.0655,0.0655,0.0655,8709335
1990-04-17,0.0655,0.0655,0.0655,0.0655,8568861
1990-04-18,0.0655,0.0655,0.0655,0.0655,30833850
1990-04-19,0.0655,0.0655,0.0655,0.0655,32098111
1990-04-20,0.0655,0.0655,0.0655,0.0655,10746195
1990-04-23,0.0655,0.0655,0.0655,0.0655,8217680
1990-04-24,0.0655,0.0655,0.0655,0.0655,13661013
1990-04-25,0.0655,0.0655,0.0655,0.0655,8955164
1990-04-26,0.0655,0.0655,0.0655,0.0655,14503850
1990-04-27,0.0655,0.0655,0.0655,0.0655,6040348
1990-04-30,0.0655,0.0655,0.0655,0.0655,43687143
1990-05-01,0.0655,0.0655,0.0655,0.0655,37049790
1990-05-02,0.0655,0.0655,0.0655,0.0655,4003484
1990-05-03,0.0655,0.07393,0.0655,0.07393,9833117
1990-05-04,0.0655,0.07393,0.0655,0.07393,8884924
1990-05-07,0.07393,0.07393,0.07393,0.07393,17875205
1990-05-08,0.07393,0.07393,0.07393,0.07393,17734731
1990-05-09,0.07393,0.07393,0.07393,0.07393,12502107
1990-05-10,0.07393,0.07393,0.07393,0.07393,5337978
1990-05-11,0.07393,0.07393,0.07393,0.07393,37260498
1990-05-14,0.07393,0.07393,0.07393,0.07393,19139463
1990-05-15,0.07393,0.07393,0.07393,0.07393,30166602
1990-05-16,0.07393,0.07393,0.07393,0.07393,23810201
1990-05-17,0.07393,0.07393,0.07393,0.07393,8603979
1990-05-18,0.07393,0.07393,0.0655,0.07393,56891617
1990-05-21,0.0655,0.07393,0.0655,0.07393,5689164
1990-05-22,0.07393,0.07393,0.07393,0.07393,29955894
1990-05-23,0.07393,0.07393,0.0655,0.0655,49973317
1990-05-24,0.07393,0.07393,0.0655,0.07393,11518795
1990-05-25,0.0655,0.07393,0.0655,0.0655,5654042
1990-05-29,0.0655,0.07393,0.0655,0.0655,25636344
1990-05-30,0.0655,0.0655,0.0655,0.0655,118243257
1990-05-31,0.0655,0.07393,0.0655,0.07393,127093061
1990-06-01,0.07393,0.07393,0.07393,0.07393,127374010
1990-06-04,0.07393,0.07393,0.07393,0.07393,60789750
1990-06-05,0.07393,0.07393,0.07393,0.07393,69428842
1990-06-06,0.07393,0.07393,0.07393,0.07393,28480929
1990-06-07,0.07393,0.07393,0.07393,0.07393,22721527
1990-06-08,0.07393,0.07393,0.07393,0.07393,8568861
1990-06-11,0.07393,0.07393,0.07393,0.07393,5057033
1990-06-12,0.07393,0.08199,0.07393,0.08199,163300012
1990-06-13,0.08199,0.08199,0.08199,0.08199,63704565
1990-06-14,0.08199,0.08199,0.08199,0.08199,68024112
1990-06-15,0.08199,0.08199,0.08199,0.08199,8498625
1990-06-18,0.08199,0.08199,0.07393,0.07393,14819917
1990-06-19,0.07393,0.07393,0.07393,0.07393,25917292
1990-06-20,0.07393,0.07393,0.07393,0.07393,37646800
1990-06-21,0.07393,0.07393,0.07393,0.07393,12993767
1990-06-22,0.07393,0.07393,0.07393,0.07393,1545206
1990-06-25,0.07393,0.07393,0.07393,0.07393,4881438
1990-06-26,0.07393,0.07393,0.07393,0.07393,6918303
1990-06-27,0.07393,0.07393,0.07393,0.07393,5267745
1990-06-28,0.07393,0.07393,0.07393,0.07393,188058401
1990-06-29,0.07393,0.07393,0.07393,0.07393,60368326
1990-07-02,0.07393,0.07393,0.07393,0.07393,46988262
1990-07-03,0.07393,0.07393,0.07393,0.07393,5443332
1990-07-05,0.07393,0.07393,0.07393,0.07393,8463504
1990-07-06,0.07393,0.07393,0.07393,0.07393,4705847
1990-07-09,0.07393,0.07393,0.07393,0.07393,18015678
1990-07-10,0.07393,0.07393,0.07393,0.07393,51483404
1990-07-11,0.07393,0.08199,0.07393,0.08199,40210434
1990-07-12,0.08199,0.08199,0.08199,0.08199,21773336
1990-07-13,0.08199,0.09021,0.08199,0.09021,57242798
1990-07-16,0.08199,0.09021,0.08199,0.08199,99033554
1990-07-17,0.08199,0.08199,0.07393,0.08199,52396478
1990-07-18,0.07393,0.08199,0.07393,0.08199,29042818
1990-07-19,0.08199,0.08199,0.08199,0.08199,33362366
1990-07-20,0.08199,0.08199,0.08199,0.08199,75188243
1990-07-23,0.08199,0.08199,0.07393,0.07393,44705572
1990-07-24,0.07393,0.07393,0.0655,0.07393,64090865
1990-07-25,0.0655,0.07393,0.0655,0.07393,53660734
1990-07-26,0.07393,0.07393,0.07393,0.07393,21948928
1990-07-27,0.07393,0.07393,0.07393,0.07393,10921785
1990-07-30,0.07393,0.07393,0.07393,0.07393,22159637
1990-07-31,0.07393,0.07393,0.07393,0.07393,11869981
1990-08-01,0.07393,0.07393,0.07393,0.07393,12080690
1990-08-02,0.07393,0.07393,0.0655,0.07393,7796259
1990-08-03,0.07393,0.07393,0.0655,0.0655,68199703
1990-08-06,0.0655,0.07393,0.0655,0.0655,76944159
1990-08-07,0.07393,0.07393,0.0655,0.0655,45091873
1990-08-08,0.07393,0.07393,0.0655,0.0655,27919032
1990-08-09,0.0655,0.07393,0.0655,0.07393,63212908
1990-08-10,0.07393,0.07393,0.0655,0.0655,43335961
1990-08-13,0.0655,0.0655,0.0655,0.0655,16751422
1990-08-14,0.0655,0.0655,0.0655,0.0655,27989270
1990-08-15,0.0655,0.0655,0.0655,0.0655,44600219
1990-08-16,0.0655,0.0655,0.0655,0.0655,27602970
1990-08-17,0.0655,0.07393,0.0655,0.07393,108761319
1990-08-20,0.07393,0.07393,0.07393,0.07393,56891617
1990-08-21,0.0655,0.07393,0.0655,0.0655,46250779
1990-08-22,0.0655,0.07393,0.0655,0.0655,32554648
1990-08-23,0.0655,0.0655,0.0655,0.0655,70447275
1990-08-24,0.0655,0.0655,0.0655,0.0655,72940672
1990-08-27,0.07393,0.07393,0.07393,0.07393,46250779
1990-08-28,0.07393,0.07393,0.07393,0.07393,25952413
1990-08-29,0.07393,0.07393,0.0655,0.07393,61176046
1990-08-30,0.07393,0.07393,0.0655,0.07393,57242798
1990-08-31,0.07393,0.07393,0.07393,0.07393,15311569
1990-09-04,0.07393,0.07393,0.07393,0.07393,32203467
1990-09-05,0.07393,0.07393,0.07393,0.07393,46250779
1990-09-06,0.07393,0.07393,0.0655,0.0655,47198970
1990-09-07,0.07393,0.07393,0.0655,0.07393,21176324
1990-09-10,0.07393,0.07393,0.07393,0.07393,50921512
1990-09-11,0.07393,0.07393,0.07393,0.07393,14749682
1990-09-12,0.07393,0.07393,0.07393,0.07393,17453787
1990-09-13,0.07393,0.07393,0.07393,0.07393,26128003
1990-09-14,0.07393,0.07393,0.07393,0.07393,22159637
1990-09-17,0.07393,0.07393,0.07393,0.07393,109674397
1990-09-18,0.07393,0.07393,0.07393,0.07393,42422886
1990-09-19,0.07393,0.07393,0.07393,0.07393,91728953
1990-09-20,0.07393,0.07393,0.07393,0.07393,92606911
1990-09-21,0.07393,0.07393,0.07393,0.07393,74696587
1990-09-24,0.0655,0.07393,0.0655,0.0655,118243257
1990-09-25,0.0655,0.07393,0.0655,0.07393,141456441
1990-09-26,0.07393,0.07393,0.0655,0.0655,79437556
1990-09-27,0.0655,0.0655,0.0655,0.0655,91728953
1990-09-28,0.0655,0.0655,0.0655,0.0655,190692271
1990-10-01,0.0655,0.07393,0.0655,0.0655,109463686
1990-10-02,0.07393,0.07393,0.0655,0.0655,60684395
1990-10-03,0.0655,0.0655,0.0655,0.0655,75609661
1990-10-04,0.0655,0.0655,0.0655,0.0655,28761874
1990-10-05,0.0655,0.0655,0.0655,0.0655,53063724
1990-10-08,0.07393,0.07393,0.0655,0.0655,14258022
1990-10-09,0.0655,0.0655,0.0655,0.0655,142123687
1990-10-10,0.05743,0.05743,0.05743,0.05743,138717213
1990-10-11,0.05743,0.05743,0.05743,0.05743,86039791
1990-10-12,0.05743,0.0655,0.05743,0.0655,50921512
1990-10-15,0.0655,0.0655,0.05743,0.0655,73432328
1990-10-16,0.0655,0.0655,0.0655,0.0655,75925724
1990-10-17,0.0655,0.07393,0.0655,0.0655,62651014
1990-10-18,0.07393,0.07393,0.07393,0.07393,148164033
1990-10-19,0.08199,0.08199,0.08199,0.08199,295555463
1990-10-22,0.08199,0.08199,0.08199,0.08199,156662657
1990-10-23,0.08199,0.09021,0.08199,0.09021,125828805
1990-10-24,0.08199,0.09021,0.08199,0.09021,80877405
1990-10-25,0.09021,0.09021,0.09021,0.09021,103001921
1990-10-26,0.09021,0.09021,0.08199,0.08199,115890332
1990-10-29,0.08199,0.08199,0.08199,0.08199,46321014
1990-10-30,0.08199,0.08199,0.07393,0.08199,111430310
1990-10-31,0.08199,0.09021,0.08199,0.08199,99490094
1990-11-01,0.08199,0.08199,0.08199,0.08199,44846044
1990-11-02,0.08199,0.09021,0.08199,0.09021,34907573
1990-11-05,0.09021,0.09021,0.08199,0.09021,47409683
1990-11-06,0.09021,0.09021,0.09021,0.09021,44565101
1990-11-07,0.09021,0.09021,0.08199,0.08199,145846225
1990-11-08,0.09021,0.10663,0.09021,0.09838,856815846
1990-11-09,0.09838,0.09838,0.09838,0.09838,173905735
1990-11-12,0.09838,0.09838,0.09838,0.09838,137944616
1990-11-13,0.09838,0.09838,0.09838,0.09838,81088115
1990-11-14,0.09838,0.09838,0.09838,0.09838,220964231
1990-11-15,0.09838,0.10663,0.09838,0.10663,119402163
1990-11-16,0.10663,0.10663,0.10663,0.10663,219102964
1990-11-19,0.10663,0.10663,0.10663,0.10663,56189250
1990-11-20,0.10663,0.10663,0.10663,0.10663,58507058
1990-11-21,0.10663,0.10663,0.09838,0.10663,88989729
1990-11-23,0.10663,0.10663,0.10663,0.10663,11027141
1990-11-26,0.10663,0.10663,0.09838,0.10663,51799465
1990-11-27,0.10663,0.11489,0.10663,0.11489,157329907
1990-11-28,0.11489,0.11489,0.11489,0.11489,154625796
1990-11-29,0.11489,0.11489,0.10663,0.10663,104582244
1990-11-30,0.10663,0.11489,0.10663,0.11489,125758569
1990-12-03,0.11489,0.11489,0.11489,0.11489,155012095
1990-12-04,0.11489,0.11489,0.11489,0.11489,82071426
1990-12-05,0.11489,0.12285,0.11489,0.11489,116487342
1990-12-06,0.12285,0.12285,0.11489,0.11489,185916187
1990-12-07,0.11489,0.11489,0.11489,0.11489,45091873
1990-12-10,0.11489,0.11489,0.11489,0.11489,7796259
1990-12-11,0.11489,0.11489,0.11489,0.11489,71290112
1990-12-12,0.11489,0.11489,0.11489,0.11489,82808909
1990-12-13,0.11489,0.12285,0.11489,0.12285,162422053
1990-12-14,0.12285,0.13137,0.12285,0.13137,154415084
1990-12-17,0.12285,0.13137,0.12285,0.12285,129165042
1990-12-18,0.12285,0.12285,0.12285,0.12285,103317989
1990-12-19,0.12285,0.13137,0.12285,0.13137,114801664
1990-12-20,0.12285,0.13137,0.12285,0.12285,138295794
1990-12-21,0.12285,0.12285,0.12285,0.12285,60579038
1990-12-24,0.12285,0.12285,0.12285,0.12285,18507335
1990-12-26,0.12285,0.12285,0.12285,0.12285,71290112
1990-12-27,0.12285,0.12285,0.11489,0.12285,70552627
1990-12-28,0.12285,0.12285,0.12285,0.12285,78629833
1990-12-31,0.12285,0.13137,0.12285,0.13137,36768843
1991-01-02,0.13137,0.13137,0.12285,0.12285,77646521
1991-01-03,0.12285,0.12285,0.12285,0.12285,128392439
1991-01-04,0.11489,0.12285,0.11489,0.11489,238804316
1991-01-07,0.11489,0.11489,0.11489,0.11489,110166050
1991-01-08,0.11489,0.11489,0.11489,0.11489,78700067
1991-01-09,0.12285,0.12285,0.11489,0.11489,110130935
1991-01-10,0.11489,0.11489,0.11489,0.11489,60473681
1991-01-11,0.11489,0.11489,0.11489,0.11489,42247290
1991-01-14,0.11489,0.12285,0.11489,0.11489,73537682
1991-01-15,0.11489,0.13137,0.11489,0.12285,105144138
1991-01-16,0.13137,0.13945,0.12285,0.13137,130323946
1991-01-17,0.13945,0.13945,0.13137,0.13945,219594615
1991-01-18,0.13945,0.13945,0.13945,0.13945,135380974
1991-01-21,0.13945,0.1476,0.13945,0.1476,106162566
1991-01-22,0.1476,0.15574,0.1476,0.1476,177558034
1991-01-23,0.1476,0.1476,0.1476,0.1476,134011367
1991-01-24,0.1476,0.1476,0.1476,0.1476,84283875
1991-01-25,0.1476,0.15574,0.1476,0.15574,131904270
1991-01-28,0.1476,0.15574,0.1476,0.15574,182896013
1991-01-29,0.15574,0.15574,0.15574,0.15574,209656139
1991-01-30,0.15574,0.16406,0.15574,0.16406,194098746
1991-01-31,0.16406,0.17222,0.16406,0.16406,168954056
1991-02-01,0.16406,0.17222,0.16406,0.16406,145530161
1991-02-04,0.16406,0.16406,0.16406,0.16406,164564271
1991-02-05,0.16406,0.17222,0.16406,0.16406,116943880
1991-02-06,0.16406,0.17222,0.16406,0.16406,138541622
1991-02-07,0.17222,0.17222,0.16406,0.16406,177347324
1991-02-08,0.16406,0.17222,0.16406,0.16406,615131832
1991-02-11,0.16406,0.17222,0.16406,0.16406,334115337
1991-02-12,0.16406,0.17222,0.16406,0.17222,625913142
1991-02-13,0.16406,0.17222,0.16406,0.17222,204739583
1991-02-14,0.17222,0.17222,0.16406,0.16406,211095993
1991-02-15,0.16406,0.16406,0.16406,0.16406,240735826
1991-02-19,0.16406,0.16406,0.16406,0.16406,194344573
1991-02-20,0.16406,0.16406,0.16406,0.16406,74240047
1991-02-21,0.16406,0.16406,0.16406,0.16406,91974783
1991-02-22,0.16406,0.16406,0.15574,0.16406,365511080
1991-02-25,0.16406,0.16406,0.16406,0.16406,120877128
1991-02-26,0.16406,0.16406,0.15574,0.15574,138295794
1991-02-27,0.15574,0.15574,0.1476,0.15574,240735826
1991-02-28,0.15574,0.16406,0.15574,0.15574,161825047
1991-03-01,0.16406,0.16406,0.15574,0.16406,113361817
1991-03-04,0.16406,0.16406,0.16406,0.16406,74837061
1991-03-05,0.16406,0.17222,0.16406,0.17222,170323668
1991-03-06,0.17222,0.17222,0.16406,0.16406,200841456
1991-03-07,0.16406,0.16406,0.1476,0.15574,465211883
1991-03-08,0.15574,0.16406,0.15574,0.15574,162492293
1991-03-11,0.15574,0.15574,0.1476,0.1476,190130380
1991-03-12,0.1476,0.1476,0.13945,0.13945,273606533
1991-03-13,0.13945,0.1476,0.13945,0.1476,283966429
1991-03-14,0.1476,0.15574,0.13945,0.13945,447090850
1991-03-15,0.13945,0.1476,0.13137,0.13945,267285246
1991-03-18,0.13945,0.1476,0.13137,0.1476,146759300
1991-03-19,0.13945,0.1476,0.13945,0.1476,102194200
1991-03-20,0.15574,0.16406,0.1476,0.16406,245002699
1991-03-21,0.16406,0.16406,0.1476,0.1476,200718540
1991-03-22,0.1476,0.15574,0.1476,0.1476,88287361
1991-03-25,0.1476,0.1476,0.13945,0.13945,106777137
1991-03-26,0.13945,0.1476,0.13945,0.13945,227338203
1991-03-27,0.13945,0.15574,0.13137,0.1476,583068839
1991-03-28,0.1476,0.1476,0.13945,0.13945,368408338
1991-04-01,0.13945,0.13945,0.12285,0.12285,398750536
1991-04-02,0.13137,0.1476,0.13137,0.1476,427951388
1991-04-03,0.1476,0.1476,0.1476,0.1476,230551521
1991-04-04,0.1476,0.15574,0.1476,0.1476,180964508
1991-04-05,0.1476,0.1476,0.13137,0.13945,205968724
1991-04-08,0.13945,0.1476,0.13945,0.1476,50342060
1991-04-09,0.1476,0.1476,0.1476,0.1476,55890746
1991-04-10,0.1476,0.1476,0.1476,0.1476,69007424
1991-04-11,0.1476,0.15574,0.1476,0.15574,135503892
1991-04-12,0.15574,0.16406,0.15574,0.16406,172869743
1991-04-15,0.16406,0.16406,0.15574,0.15574,56961854
1991-04-16,0.15574,0.17222,0.15574,0.17222,216556888
1991-04-17,0.17222,0.18846,0.17222,0.18846,364141468
1991-04-18,0.18039,0.18846,0.18039,0.18039,176522045
1991-04-19,0.18039,0.18039,0.18039,0.18039,154327291
1991-04-22,0.18039,0.18039,0.16406,0.17222,81456853
1991-04-23,0.17222,0.18039,0.17222,0.18039,56874055
1991-04-24,0.18039,0.18039,0.18039,0.18039,111026449
1991-04-25,0.18039,0.18039,0.17222,0.18039,90236424
1991-04-26,0.17222,0.18039,0.17222,0.17222,67514896
1991-04-29,0.17222,0.18039,0.16406,0.16406,68147025
1991-04-30,0.16406,0.17222,0.16406,0.17222,95223223
1991-05-01,0.16406,0.17222,0.16406,0.17222,58823124
1991-05-02,0.17222,0.18039,0.17222,0.17222,31711810
1991-05-03,0.17222,0.17222,0.17222,0.17222,42791628
1991-05-06,0.17222,0.18039,0.17222,0.18039,73063585
1991-05-07,0.18039,0.18039,0.17222,0.18039,137242245
1991-05-08,0.18039,0.18039,0.17222,0.18039,133835772
1991-05-09,0.18039,0.18039,0.17222,0.18039,111166921
1991-05-10,0.18846,0.18846,0.17222,0.17222,337627165
1991-05-13,0.17222,0.18039,0.17222,0.18039,121351228
1991-05-14,0.18039,0.18039,0.17222,0.17222,108919353
1991-05-15,0.16406,0.17222,0.15574,0.16406,219787768
1991-05-16,0.16406,0.16406,0.16406,0.16406,116381988
1991-05-17,0.16406,0.16406,0.15574,0.16406,52449153
1991-05-20,0.16406,0.16406,0.15574,0.16406,46285896
1991-05-21,0.16406,0.17222,0.16406,0.16406,92080140
1991-05-22,0.16406,0.18039,0.16406,0.17222,125319590
1991-05-23,0.17222,0.18039,0.17222,0.18039,96733305
1991-05-24,0.18039,0.18039,0.17222,0.18039,70570191
1991-05-28,0.18039,0.18846,0.18039,0.18846,132659311
1991-05-29,0.18846,0.18846,0.18039,0.18039,82124102
1991-05-30,0.18846,0.18846,0.18039,0.18846,82317256
1991-05-31,0.18846,0.18846,0.18039,0.18039,75311159
1991-06-03,0.18039,0.18846,0.18039,0.18846,82194338
1991-06-04,0.18039,0.18846,0.18039,0.18846,102668298
1991-06-05,0.18846,0.18846,0.18846,0.18846,60859985
1991-06-06,0.18846,0.18846,0.18846,0.18846,62387630
1991-06-07,0.18039,0.18846,0.18039,0.18846,81351499
1991-06-10,0.18846,0.18846,0.18846,0.18846,30043690
1991-06-11,0.18846,0.18846,0.18846,0.18846,45987390
1991-06-12,0.18846,0.18846,0.18039,0.18846,88234686
1991-06-13,0.18846,0.18846,0.18039,0.18846,62773930
1991-06-14,0.18846,0.19687,0.18846,0.19687,144968269
1991-06-17,0.19687,0.2051,0.19687,0.2051,120332792
1991-06-18,0.2051,0.2051,0.19687,0.19687,93116125
1991-06-19,0.19687,0.2051,0.18846,0.19687,100227578
1991-06-20,0.18846,0.19687,0.18846,0.19687,58489495
1991-06-21,0.19687,0.19687,0.18846,0.18846,65197092
1991-06-24,0.18846,0.18846,0.18039,0.18039,134274753
1991-06-25,0.18039,0.18039,0.17222,0.17222,81263707
1991-06-26,0.17222,0.18039,0.16406,0.17222,67708048
1991-06-27,0.18039,0.18039,0.17222,0.18039,103388224
1991-06-28,0.18039,0.18039,0.16406,0.17222,87268931
1991-07-01,0.18039,0.18039,0.17222,0.18039,46285896
1991-07-02,0.18039,0.18039,0.18039,0.18039,42616037
1991-07-03,0.18039,0.18039,0.18039,0.18039,92870298
1991-07-05,0.18039,0.18039,0.18039,0.18039,10184303
1991-07-08,0.18039,0.18846,0.17222,0.18846,61158488
1991-07-09,0.18846,0.19687,0.18846,0.19687,149393175
1991-07-10,0.19687,0.19687,0.18846,0.19687,63845037
1991-07-11,0.19687,0.19687,0.18846,0.19687,13502979
1991-07-12,0.19687,0.19687,0.19687,0.19687,55311296
1991-07-15,0.19687,0.2051,0.19687,0.19687,36329865
1991-07-16,0.19687,0.2051,0.19687,0.19687,105354846
1991-07-17,0.19687,0.2051,0.19687,0.2051,35153400
1991-07-18,0.2051,0.2051,0.2051,0.2051,71693973
1991-07-19,0.2051,0.2215,0.2051,0.21309,95802674
1991-07-22,0.21309,0.2215,0.21309,0.21309,75609661
1991-07-23,0.21309,0.21309,0.2051,0.2051,115310879
1991-07-24,0.21309,0.21309,0.19687,0.2051,86373418
1991-07-25,0.2051,0.2051,0.19687,0.2051,66197960
1991-07-26,0.2051,0.21309,0.2051,0.2051,117014117
1991-07-29,0.2051,0.2215,0.2051,0.21309,74520990
1991-07-30,0.2215,0.2215,0.21309,0.2215,80614017
1991-07-31,0.2215,0.2215,0.21309,0.2215,141948094
1991-08-01,0.2215,0.22954,0.2215,0.2215,115995685
1991-08-02,0.22954,0.2378,0.2215,0.22954,133941128
1991-08-05,0.22954,0.2378,0.22954,0.2378,103932557
1991-08-06,0.2378,0.2378,0.22954,0.22954,132817343
1991-08-07,0.2378,0.2378,0.2215,0.22954,177733630
1991-08-08,0.22954,0.22954,0.2215,0.2215,62931958
1991-08-09,0.2215,0.22954,0.2215,0.2215,95486611
1991-08-12,0.2215,0.22954,0.2215,0.22954,146899773
1991-08-13,0.22954,0.2378,0.22954,0.2378,76048638
1991-08-14,0.2378,0.24605,0.2378,0.24605,191166368
1991-08-15,0.24605,0.25423,0.22954,0.2378,179928518
1991-08-16,0.2378,0.24605,0.2378,0.24605,158172743
1991-08-19,0.22954,0.24605,0.22954,0.2378,141157935
1991-08-20,0.2378,0.24605,0.22954,0.2378,131395054
1991-08-21,0.2378,0.25423,0.2378,0.25423,237452270
1991-08-22,0.25423,0.25423,0.25423,0.25423,109604159
1991-08-23,0.25423,0.26239,0.25423,0.26239,123704149
1991-08-26,0.26239,0.26239,0.25423,0.26239,46496605
1991-08-27,0.26239,0.26239,0.25423,0.26239,53221755
1991-08-28,0.26239,0.26239,0.25423,0.26239,34679304
1991-08-29,0.26239,0.26239,0.25423,0.26239,48182283
1991-08-30,0.25423,0.26239,0.25423,0.26239,32133229
1991-09-03,0.25423,0.26239,0.25423,0.25423,18050799
1991-09-04,0.25423,0.25423,0.24605,0.24605,71904682
1991-09-05,0.2378,0.24605,0.22954,0.2378,102756094
1991-09-06,0.2378,0.24605,0.2378,0.2378,64231338
1991-09-09,0.2378,0.24605,0.2378,0.24605,40719648
1991-09-10,0.24605,0.25423,0.24605,0.24605,99946630
1991-09-11,0.24605,0.25423,0.24605,0.25423,46566842
1991-09-12,0.25423,0.26239,0.25423,0.25423,93800932
1991-09-13,0.25423,0.25423,0.24605,0.25423,78770307
1991-09-16,0.25423,0.25423,0.2378,0.24605,36961992
1991-09-17,0.24605,0.24605,0.2378,0.24605,40579176
1991-09-18,0.2378,0.25423,0.2378,0.25423,37155143
1991-09-19,0.24605,0.25423,0.24605,0.25423,78138176
1991-09-20,0.25423,0.26239,0.25423,0.25423,95995824
1991-09-23,0.25423,0.25423,0.25423,0.25423,104529566
1991-09-24,0.25423,0.26239,0.25423,0.25423,119507514
1991-09-25,0.25423,0.25423,0.24605,0.24605,68199703
1991-09-26,0.2378,0.2378,0.22954,0.22954,251938558
1991-09-27,0.22954,0.2378,0.2215,0.22954,186478079
1991-09-30,0.22954,0.2378,0.2215,0.22954,94678888
1991-10-01,0.2378,0.24605,0.22954,0.2378,98629692
1991-10-02,0.2378,0.2378,0.22954,0.2378,141052577
1991-10-03,0.2378,0.2378,0.22954,0.22954,65811662
1991-10-04,0.22954,0.2378,0.22954,0.2378,55276178
1991-10-07,0.22954,0.2378,0.22954,0.2378,61456996
1991-10-08,0.2378,0.2378,0.22954,0.2378,96961578
1991-10-09,0.2378,0.2378,0.2215,0.2215,144142991
1991-10-10,0.2215,0.22954,0.21309,0.2215,198699240
1991-10-11,0.2215,0.2378,0.2215,0.22954,159068257
1991-10-14,0.22954,0.24605,0.22954,0.24605,81491973
1991-10-15,0.24605,0.25423,0.24605,0.25423,137488072
1991-10-16,0.25423,0.26239,0.24605,0.25423,184651923
1991-10-17,0.25423,0.26239,0.25423,0.25423,184212947
1991-10-18,0.25423,0.26239,0.25423,0.25423,79507789
1991-10-21,0.25423,0.26239,0.25423,0.25423,74520990
1991-10-22,0.25423,0.26239,0.25423,0.25423,56593110
1991-10-23,0.26239,0.26239,0.25423,0.26239,37155143
1991-10-24,0.26239,0.26239,0.24605,0.25423,139103512
1991-10-25,0.24605,0.25423,0.24605,0.24605,104231061
1991-10-28,0.25423,0.26239,0.24605,0.25423,75785254
1991-10-29,0.26239,0.26239,0.25423,0.26239,65811662
1991-10-30,0.26239,0.2706,0.26239,0.2706,202755402
1991-10-31,0.2706,0.27884,0.2706,0.27884,160613462
1991-11-01,0.27884,0.27884,0.2706,0.2706,117856957
1991-11-04,0.2706,0.2706,0.26239,0.2706,51202455
1991-11-05,0.2706,0.27884,0.2706,0.27884,144037634
1991-11-06,0.27884,0.27884,0.2706,0.27884,72835314
1991-11-07,0.29516,0.29516,0.28708,0.29516,280998936
1991-11-08,0.30331,0.31181,0.29516,0.30331,163001507
1991-11-11,0.30331,0.30331,0.29516,0.30331,30675819
1991-11-12,0.30331,0.30331,0.30331,0.30331,110727945
1991-11-13,0.30331,0.31181,0.30331,0.31181,117453095
1991-11-14,0.31181,0.31181,0.31181,0.31181,44371946
1991-11-15,0.31181,0.31181,0.29516,0.29516,114538275
1991-11-18,0.29516,0.29516,0.28708,0.29516,118032546
1991-11-19,0.28708,0.28708,0.27884,0.28708,144722441
1991-11-20,0.28708,0.28708,0.27884,0.28708,51325370
1991-11-21,0.28708,0.28708,0.28708,0.28708,47602832
1991-11-22,0.28708,0.28708,0.2706,0.27884,86443650
1991-11-25,0.27884,0.28708,0.27884,0.27884,65372683
1991-11-26,0.27884,0.27884,0.27884,0.27884,55311296
1991-11-27,0.27884,0.28708,0.27884,0.27884,40825004
1991-11-29,0.27884,0.28708,0.27884,0.27884,30429992
1991-12-02,0.27884,0.29516,0.27884,0.29516,77558729
1991-12-03,0.29516,0.30331,0.29516,0.30331,67848524
1991-12-04,0.30331,0.31974,0.30331,0.31181,115012377
1991-12-05,0.31181,0.31974,0.30331,0.31181,104441771
1991-12-06,0.31181,0.31181,0.30331,0.30331,71799329
1991-12-09,0.31181,0.31181,0.30331,0.31181,100666555
1991-12-10,0.31181,0.31181,0.30331,0.31181,46566842
1991-12-11,0.31181,0.31181,0.30331,0.31181,58032962
1991-12-12,0.31181,0.31181,0.30331,0.31181,58085638
1991-12-13,0.31181,0.31974,0.31181,0.31181,99929072
1991-12-16,0.31181,0.31974,0.31181,0.31974,93888729
1991-12-17,0.31974,0.31974,0.31974,0.31974,55258618
1991-12-18,0.31974,0.32806,0.31974,0.32806,134906878
1991-12-19,0.31974,0.31974,0.31974,0.31974,69709793
1991-12-20,0.31974,0.31974,0.31181,0.31181,82861585
1991-12-23,0.31181,0.31974,0.31181,0.31974,194959143
1991-12-24,0.31974,0.33637,0.31974,0.33637,104424216
1991-12-26,0.33637,0.36892,0.33637,0.36094,150604753
1991-12-27,0.36094,0.36892,0.36094,0.36892,91711397
1991-12-30,0.36892,0.38556,0.36892,0.38556,91799190
1991-12-31,0.38556,0.38556,0.36892,0.37726,130376621
1992-01-02,0.36892,0.37726,0.36892,0.37726,93098565
1992-01-03,0.37726,0.38556,0.36892,0.38556,79507789
