Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1970-01-02,0.5162,0.5162,0.5162,0.5162,1208679
1970-01-05,0.5252,0.5342,0.5162,0.5162,1569161
1970-01-06,0.507,0.507,0.49799,0.507,3816877
1970-01-07,0.507,0.5162,0.507,0.5162,6255437
1970-01-08,0.5162,0.5342,0.5162,0.5252,2523380
1970-01-09,0.5342,0.5432,0.5342,0.5432,2035668
1970-01-12,0.5432,0.5525,0.5432,0.5525,1441931
1970-01-13,0.5615,0.5885,0.5615,0.5795,2989887
1970-01-14,0.5795,0.6157,0.5795,0.6067,8375925
1970-01-15,0.5977,0.5977,0.5795,0.5885,5704110
1970-01-16,0.5885,0.5885,0.5525,0.5795,5237602
1970-01-19,0.5704,0.5704,0.5525,0.5704,4855916
1970-01-20,0.5704,0.5885,0.5704,0.5795,4113746
1970-01-21,0.5795,0.5885,0.5795,0.5795,3753263
1970-01-22,0.5795,0.5795,0.5704,0.5704,1802414
1970-01-23,0.5704,0.5704,0.5704,0.5704,2841453
1970-01-26,0.5704,0.6067,0.5704,0.5977,6128210
1970-01-27,0.5977,0.6067,0.5885,0.5885,8227490
1970-01-28,0.5885,0.6067,0.5885,0.5885,4622663
1970-01-29,0.5885,0.5885,0.5704,0.5704,4792301
1970-01-30,0.5704,0.5704,0.5525,0.5615,4304590
1970-02-02,0.5704,0.5795,0.5704,0.5704,5407243
1970-02-03,0.5704,0.5795,0.5615,0.5704,6043389
1970-02-04,0.5704,0.5795,0.5704,0.5795,5089168
1970-02-05,0.5704,0.5704,0.5615,0.5704,5173989
1970-02-06,0.5704,0.5885,0.5704,0.5885,3329165
1970-02-09,0.5977,0.6067,0.5977,0.5977,3689649
1970-02-10,0.5977,0.5977,0.5885,0.5885,3668443
1970-02-11,0.5977,0.6157,0.5977,0.6157,3053501
1970-02-12,0.6157,0.6157,0.5977,0.5977,2374946
1970-02-13,0.5977,0.6067,0.5977,0.6067,2438560
1970-02-16,0.6067,0.6067,0.5977,0.6067,551328
1970-02-17,0.6067,0.6067,0.6067,0.6067,445303
1970-02-18,0.6157,0.6248,0.6157,0.6248,1760005
1970-02-19,0.6248,0.6248,0.6157,0.6157,1547956
1970-02-20,0.6067,0.6067,0.6067,0.6067,4495435
1970-02-24,0.6067,0.6157,0.5977,0.5977,1399522
1970-02-25,0.5977,0.6067,0.5885,0.6067,1463137
1970-02-26,0.5977,0.5977,0.5885,0.5977,2226510
1970-02-27,0.5977,0.5977,0.5885,0.5885,2417356
1970-03-02,0.5795,0.5795,0.5704,0.5704,6679534
1970-03-03,0.5704,0.5704,0.5615,0.5615,5788930
1970-03-04,0.5615,0.5615,0.5342,0.5432,12786537
1970-03-05,0.5432,0.5525,0.5432,0.5525,4050132
1970-03-06,0.5525,0.5525,0.5432,0.5432,2353740
1970-03-09,0.5432,0.5525,0.5162,0.5252,8884841
1970-03-10,0.5252,0.5252,0.5162,0.5162,2968684
1970-03-11,0.5162,0.5342,0.5162,0.5342,4113746
1970-03-12,0.5342,0.5432,0.5342,0.5432,3159527
1970-03-13,0.5432,0.5525,0.5342,0.5432,5004351
1970-03-16,0.5342,0.5342,0.5252,0.5342,4855916
1970-03-17,0.5342,0.5525,0.5342,0.5432,1908439
1970-03-18,0.5525,0.5704,0.5525,0.5615,4495435
1970-03-19,0.5615,0.5704,0.5525,0.5615,3011090
1970-03-20,0.5615,0.5615,0.5525,0.5525,3668443
1970-03-23,0.5525,0.5615,0.5432,0.5525,3329165
1970-03-24,0.5525,0.5704,0.5525,0.5615,2671815
1970-03-25,0.5704,0.5885,0.5704,0.5795,2862658
1970-03-26,0.5795,0.5795,0.5704,0.5795,2268923
1970-03-30,0.5795,0.5885,0.5795,0.5885,1208679
1970-03-31,0.5885,0.5885,0.5795,0.5885,2035668
1970-04-01,0.5885,0.6067,0.5795,0.5977,2862658
1970-04-02,0.5977,0.5977,0.5977,0.5977,1717595
1970-04-03,0.5977,0.6067,0.5977,0.6067,2671815
1970-04-06,0.6067,0.6067,0.5885,0.5885,1463137
1970-04-07,0.5795,0.5795,0.5704,0.5704,2268923
1970-04-08,0.5615,0.5615,0.5525,0.5615,3223141
1970-04-09,0.5615,0.5704,0.5525,0.5525,2311331
1970-04-10,0.5525,0.5525,0.5432,0.5525,1378317
1970-04-13,0.5525,0.5525,0.5342,0.5342,2353740
1970-04-14,0.5342,0.5432,0.5342,0.5432,1972053
1970-04-15,0.5432,0.5525,0.5432,0.5432,2480972
1970-04-16,0.5432,0.5432,0.5342,0.5342,2756633
1970-04-17,0.5342,0.5342,0.5252,0.5252,3117115
1970-04-20,0.5252,0.5342,0.5252,0.5342,3286756
1970-04-21,0.5342,0.5525,0.5252,0.5252,2586996
1970-04-22,0.5252,0.5252,0.5162,0.5162,3816877
1970-04-23,0.5162,0.5162,0.49799,0.507,4559048
1970-04-24,0.507,0.507,0.48897,0.48897,5089168
1970-04-27,0.48897,0.48897,0.46181,0.47086,4919531
1970-04-28,0.47086,0.48897,0.46181,0.47976,5301219
1970-04-29,0.47976,0.5162,0.47086,0.5162,6043389
1970-04-30,0.5162,0.5162,0.49799,0.5162,3371574
1970-05-01,0.5162,0.5162,0.49799,0.507,3647238
1970-05-04,0.49799,0.49799,0.47086,0.47086,5343628
1970-05-05,0.47086,0.47976,0.43469,0.45273,12107982
1970-05-06,0.45273,0.47976,0.45273,0.47976,9499784
1970-05-07,0.48897,0.49799,0.48897,0.48897,3689649
1970-05-08,0.47976,0.47976,0.46181,0.47976,3498804
1970-05-11,0.47976,0.48897,0.47086,0.47086,2035668
1970-05-12,0.47086,0.49799,0.46181,0.47086,6976403
1970-05-13,0.47086,0.47976,0.46181,0.47086,4134950
1970-05-14,0.47086,0.47976,0.46181,0.47976,5979774
1970-05-15,0.47976,0.507,0.47086,0.49799,10432798
1970-05-18,0.49799,0.507,0.48897,0.48897,2862658
1970-05-19,0.48897,0.48897,0.47086,0.47086,5386039
1970-05-20,0.47086,0.47976,0.46181,0.46181,7803392
1970-05-21,0.46181,0.46181,0.44365,0.45273,20441498
1970-05-22,0.45273,0.46181,0.42553,0.43469,12256414
1970-05-25,0.42553,0.42553,0.40747,0.40747,8609178
1970-05-26,0.40747,0.41656,0.38037,0.38935,16963897
1970-05-27,0.38935,0.42553,0.38935,0.42553,10029905
1970-05-28,0.42553,0.45273,0.42553,0.45273,15649195
1970-05-29,0.45273,0.47086,0.42553,0.46181,12701717
1970-06-01,0.46181,0.47976,0.45273,0.47976,8736407
1970-06-02,0.47976,0.47976,0.46181,0.47976,9181709
1970-06-03,0.47976,0.48897,0.47086,0.47976,8079056
1970-06-04,0.47976,0.47976,0.46181,0.46181,3965310
1970-06-05,0.46181,0.47086,0.45273,0.47086,10581232
1970-06-08,0.47086,0.47086,0.45273,0.46181,2290126
1970-06-09,0.46181,0.47976,0.46181,0.47086,5449653
1970-06-10,0.47086,0.47976,0.47086,0.47976,4368204
1970-06-11,0.47086,0.47086,0.46181,0.46181,4156155
1970-06-12,0.46181,0.47086,0.45273,0.46181,4749891
1970-06-15,0.46181,0.48897,0.46181,0.48897,4453024
1970-06-16,0.48897,0.507,0.48897,0.507,7146042
1970-06-17,0.507,0.5162,0.48897,0.49799,5746520
1970-06-18,0.49799,0.5162,0.48897,0.5162,6319052
1970-06-19,0.5162,0.5162,0.507,0.507,3753263
1970-06-22,0.507,0.507,0.49799,0.507,3053501
1970-06-23,0.507,0.507,0.48897,0.48897,5598086
1970-06-24,0.48897,0.49799,0.47976,0.47976,9033274
1970-06-25,0.48897,0.49799,0.48897,0.49799,3011090
1970-06-26,0.48897,0.48897,0.47086,0.47976,5173989
1970-06-29,0.47976,0.47976,0.46181,0.47086,5025555
1970-06-30,0.47086,0.48897,0.47086,0.47086,2671815
1970-07-01,0.47086,0.47976,0.46181,0.47976,4665071
1970-07-02,0.47976,0.47976,0.46181,0.46181,4453024
1970-07-06,0.46181,0.46181,0.42553,0.42553,7061222
1970-07-07,0.42553,0.44365,0.42553,0.43469,9096890
1970-07-08,0.44365,0.48897,0.44365,0.48897,7336886
1970-07-09,0.48897,0.48897,0.46181,0.47086,8757613
1970-07-10,0.47086,0.47086,0.46181,0.46181,3922901
1970-07-13,0.46181,0.47086,0.46181,0.46181,2608198
1970-07-14,0.46181,0.47086,0.46181,0.47086,2862658
1970-07-15,0.47976,0.48897,0.47976,0.48897,8248696
1970-07-16,0.48897,0.49799,0.47976,0.47976,5576882
1970-07-17,0.48897,0.48897,0.48897,0.48897,2968684
1970-07-20,0.48897,0.48897,0.47086,0.47086,3053501
1970-07-21,0.47086,0.47086,0.46181,0.47086,3498804
1970-07-22,0.47086,0.47976,0.46181,0.46181,5979774
1970-07-23,0.46181,0.47976,0.46181,0.47976,6912789
1970-07-24,0.47086,0.47086,0.45273,0.45273,8185078
1970-07-27,0.45273,0.45273,0.43469,0.43469,12256414
1970-07-28,0.43469,0.44365,0.43469,0.44365,7867009
1970-07-29,0.44365,0.44365,0.43469,0.43469,7018813
1970-07-30,0.43469,0.43469,0.41656,0.42553,14207263
1970-07-31,0.42553,0.42553,0.40747,0.40747,6785559
1970-08-03,0.40747,0.41656,0.40747,0.40747,3647238
1970-08-04,0.40747,0.41656,0.39841,0.41656,4559048
1970-08-05,0.41656,0.41656,0.40747,0.40747,1929643
1970-08-06,0.40747,0.40747,0.39841,0.39841,3265551
1970-08-07,0.39841,0.41656,0.38935,0.39841,5449653
1970-08-10,0.39841,0.39841,0.38935,0.38935,3265551
1970-08-11,0.38935,0.39841,0.38935,0.39841,4007722
1970-08-12,0.39841,0.39841,0.37121,0.37121,8524358
1970-08-13,0.37121,0.37121,0.35317,0.37121,8884841
1970-08-14,0.37121,0.37121,0.36223,0.36223,3562418
1970-08-17,0.36223,0.38037,0.36223,0.38037,2629403
1970-08-18,0.38037,0.38935,0.38037,0.38935,5237602
1970-08-19,0.38037,0.38037,0.36223,0.37121,3901696
1970-08-20,0.37121,0.37121,0.36223,0.37121,4495435
1970-08-21,0.37121,0.38935,0.37121,0.38935,4898327
1970-08-24,0.38935,0.39841,0.38037,0.38935,9033274
1970-08-25,0.38935,0.41656,0.38037,0.40747,8736407
1970-08-26,0.40747,0.41656,0.38935,0.38935,7188452
1970-08-27,0.38935,0.40747,0.38935,0.40747,6976403
1970-08-28,0.40747,0.42553,0.40747,0.42553,8333515
1970-08-31,0.42553,0.42553,0.41656,0.41656,1781207
1970-09-01,0.41656,0.42553,0.41656,0.41656,4071335
1970-09-02,0.41656,0.42553,0.41656,0.41656,2332537
1970-09-03,0.41656,0.43469,0.41656,0.41656,2268923
1970-09-04,0.41656,0.41656,0.40747,0.41656,2862658
1970-09-08,0.41656,0.41656,0.39841,0.40747,3477600
1970-09-09,0.40747,0.41656,0.39841,0.40747,2353740
1970-09-10,0.40747,0.40747,0.39841,0.39841,1887232
1970-09-11,0.39841,0.41656,0.39841,0.40747,2120487
1970-09-14,0.40747,0.41656,0.40747,0.40747,3201936
1970-09-15,0.40747,0.40747,0.39841,0.40747,1251089
1970-09-16,0.40747,0.43469,0.40747,0.43469,3965310
1970-09-17,0.44365,0.45273,0.44365,0.44365,8015442
1970-09-18,0.44365,0.45273,0.44365,0.44365,2480972
1970-09-21,0.44365,0.44365,0.43469,0.44365,2099282
1970-09-22,0.44365,0.44365,0.43469,0.43469,2141693
1970-09-23,0.43469,0.45273,0.43469,0.45273,5089168
1970-09-24,0.47086,0.48897,0.47086,0.48897,7867009
1970-09-25,0.48897,0.48897,0.47976,0.47976,3689649
1970-09-28,0.47976,0.47976,0.47086,0.47976,4834711
1970-09-29,0.47976,0.49799,0.47086,0.48897,4368204
1970-09-30,0.47976,0.47976,0.47086,0.47086,1781207
1970-10-01,0.47086,0.47086,0.45273,0.46181,3223141
1970-10-02,0.46181,0.47976,0.46181,0.47086,2078078
1970-10-05,0.47086,0.47976,0.47086,0.47976,1929643
1970-10-06,0.47976,0.47976,0.46181,0.47086,1505548
1970-10-07,0.47086,0.47086,0.46181,0.47086,2714223
1970-10-08,0.47086,0.47086,0.46181,0.46181,3710853
1970-10-09,0.46181,0.47086,0.45273,0.46181,1675184
1970-10-12,0.46181,0.46181,0.45273,0.46181,2162897
1970-10-13,0.46181,0.46181,0.45273,0.46181,1632775
1970-10-14,0.46181,0.46181,0.46181,0.46181,1399522
1970-10-15,0.46181,0.47086,0.46181,0.46181,763376
1970-10-16,0.46181,0.47086,0.46181,0.46181,1505548
1970-10-19,0.46181,0.46181,0.46181,0.46181,1675184
1970-10-20,0.46181,0.47086,0.46181,0.47086,678556
1970-10-21,0.47086,0.47086,0.46181,0.46181,3562418
1970-10-22,0.46181,0.46181,0.45273,0.46181,1844824
1970-10-23,0.47086,0.47086,0.47086,0.47086,826991
1970-10-26,0.47086,0.47086,0.46181,0.46181,678556
1970-10-27,0.46181,0.47086,0.46181,0.47086,1378317
1970-10-28,0.47086,0.48897,0.47086,0.48897,1993259
1970-10-29,0.48897,0.48897,0.47976,0.47976,2205307
1970-10-30,0.47976,0.47976,0.47086,0.47976,1420726
1970-11-02,0.47976,0.49799,0.47086,0.49799,2438560
1970-11-03,0.49799,0.507,0.49799,0.49799,4516639
1970-11-04,0.49799,0.507,0.49799,0.49799,2586996
1970-11-05,0.49799,0.507,0.49799,0.49799,2608198
1970-11-06,0.507,0.507,0.507,0.507,2629403
1970-11-09,0.507,0.5342,0.507,0.5342,9669422
1970-11-10,0.5342,0.5342,0.5252,0.5252,2608198
1970-11-11,0.5252,0.5432,0.5252,0.5342,5046759
1970-11-12,0.5342,0.5342,0.507,0.507,3244345
1970-11-13,0.507,0.507,0.507,0.507,4877121
1970-11-17,0.5252,0.5252,0.5162,0.5162,2523380
1970-11-18,0.5162,0.5162,0.5162,0.5162,1908439
1970-11-19,0.5162,0.5252,0.5162,0.5252,2735429
1970-11-20,0.5252,0.5525,0.5252,0.5525,6149414
1970-11-23,0.5525,0.5615,0.5525,0.5525,4219768
1970-11-24,0.5525,0.5615,0.5432,0.5525,2565789
1970-11-25,0.5615,0.5704,0.5615,0.5615,2777840
1970-11-27,0.5615,0.5795,0.5615,0.5795,2353740
1970-11-30,0.5885,0.6067,0.5885,0.5977,3795672
1970-12-01,0.5977,0.5977,0.5885,0.5885,5364833
1970-12-02,0.5885,0.5977,0.5704,0.5977,4495435
1970-12-03,0.5977,0.5977,0.5885,0.5885,2332537
1970-12-04,0.5885,0.6067,0.5885,0.5977,3583624
1970-12-07,0.5977,0.5977,0.5885,0.5977,2162897
1970-12-08,0.5977,0.5977,0.5795,0.5885,2438560
1970-12-09,0.5795,0.5795,0.5795,0.5795,4728685
1970-12-10,0.5795,0.5795,0.5795,0.5795,1335906
1970-12-11,0.5795,0.5885,0.5795,0.5885,2544584
1970-12-14,0.5795,0.5795,0.5704,0.5704,2014463
1970-12-15,0.5704,0.5704,0.5525,0.5615,4855916
1970-12-16,0.5615,0.5615,0.5525,0.5615,1166269
1970-12-17,0.5615,0.5615,0.5615,0.5615,2205307
1970-12-18,0.5615,0.5615,0.5525,0.5525,1950848
1970-12-21,0.5525,0.5525,0.5525,0.5525,1866028
1970-12-22,0.5525,0.5525,0.5525,0.5525,1378317
1970-12-23,0.5525,0.5525,0.5342,0.5525,17939324
1970-12-24,0.5525,0.5525,0.5432,0.5432,2056874
1970-12-28,0.5525,0.5615,0.5525,0.5525,1357112
1970-12-29,0.5525,0.5795,0.5525,0.5795,2184103
1970-12-30,0.5795,0.5795,0.5615,0.5704,3647238
1970-12-31,0.5704,0.5704,0.5615,0.5615,1293497
1971-01-04,0.5615,0.5615,0.5525,0.5525,445303
1971-01-05,0.5525,0.5615,0.5525,0.5615,2671815
1971-01-06,0.5704,0.5977,0.5704,0.5885,6276643
1971-01-07,0.5885,0.6067,0.5885,0.5977,9245324
1971-01-08,0.5977,0.5977,0.5885,0.5885,4686278
1971-01-11,0.5885,0.6067,0.5885,0.6067,3689649
1971-01-12,0.6067,0.6157,0.5977,0.6157,4834711
1971-01-13,0.6157,0.6337,0.6157,0.6157,7273268
1971-01-14,0.6157,0.6248,0.6157,0.6248,4686278
1971-01-15,0.6248,0.6429,0.6248,0.6337,7760984
1971-01-18,0.6337,0.6337,0.6248,0.6248,7442911
1971-01-19,0.6248,0.6248,0.6067,0.6157,3541213
1971-01-20,0.6157,0.6157,0.6067,0.6067,1781207
1971-01-21,0.6067,0.6157,0.6067,0.6157,4389411
1971-01-22,0.6157,0.6157,0.6067,0.6067,2396151
1971-01-25,0.6067,0.6337,0.6067,0.6337,4919531
1971-01-26,0.6337,0.6337,0.6248,0.6248,4092541
1971-01-27,0.6248,0.6248,0.6067,0.6248,6679534
1971-01-28,0.6248,0.6248,0.6248,0.6248,911809
1971-01-29,0.6248,0.6337,0.6248,0.6337,5301219
1971-02-01,0.6337,0.6429,0.6337,0.6337,2374946
1971-02-02,0.6429,0.6521,0.6429,0.6521,3286756
1971-02-03,0.6521,0.6608,0.6429,0.6608,4198565
1971-02-04,0.6608,0.679,0.6608,0.679,5025555
1971-02-05,0.679,0.6972,0.679,0.6881,3413984
1971-02-08,0.6881,0.6972,0.679,0.6881,4071335
1971-02-09,0.6881,0.6881,0.6702,0.6702,3774467
1971-02-10,0.6702,0.6702,0.6521,0.6521,4898327
1971-02-11,0.6608,0.6608,0.6608,0.6608,2014463
1971-02-12,0.6608,0.6881,0.6608,0.6881,5788930
1971-02-16,0.6881,0.6881,0.679,0.6881,1781207
1971-02-17,0.6881,0.6881,0.679,0.6881,4240976
1971-02-18,0.6881,0.6881,0.6881,0.6881,1463137
1971-02-19,0.6881,0.6881,0.679,0.6881,1675184
1971-02-22,0.6881,0.6881,0.6881,0.6881,1760005
1971-02-23,0.6881,0.6881,0.6702,0.679,7654959
1971-02-24,0.679,0.6972,0.679,0.6972,3138321
1971-02-25,0.7062,0.7153,0.7062,0.7062,2820250
1971-02-26,0.7062,0.7062,0.7062,0.7062,1760005
1971-03-01,0.7425,0.7425,0.7062,0.7425,3159527
1971-03-02,0.7425,0.7787,0.7425,0.7787,6753753
1971-03-03,0.7698,0.7698,0.7516,0.7516,4887722
1971-03-04,0.7516,0.7787,0.7516,0.7787,5979774
1971-03-05,0.7787,0.8059,0.7698,0.7877,4092541
1971-03-08,0.7877,0.8148,0.7877,0.8059,3318561
1971-03-09,0.8059,0.8512,0.7968,0.8419,4813506
1971-03-10,0.8419,0.8693,0.8419,0.8602,6520499
1971-03-11,0.8512,0.8512,0.8148,0.8148,5767725
1971-03-12,0.8148,0.8241,0.7877,0.8059,5863147
1971-03-15,0.8059,0.8241,0.7877,0.8059,4134950
1971-03-16,0.8059,0.8241,0.7968,0.8059,3806275
1971-03-17,0.8059,0.8148,0.7968,0.7968,2480972
1971-03-18,0.7968,0.8148,0.7968,0.8059,1844824
1971-03-19,0.8059,0.8059,0.7968,0.7968,1494943
1971-03-22,0.7968,0.8059,0.7698,0.7787,2046270
1971-03-23,0.7787,0.7877,0.7698,0.7877,3859287
1971-03-24,0.7877,0.8148,0.7877,0.7968,3032297
1971-03-25,0.7968,0.8059,0.7877,0.7968,1887232
1971-03-26,0.8148,0.8241,0.8148,0.8241,3212538
1971-03-29,0.8241,0.8331,0.8241,0.8331,2321934
1971-03-30,0.8331,0.8419,0.8241,0.8331,3117115
1971-03-31,0.8331,0.8331,0.8059,0.8059,1441931
1971-04-01,0.8059,0.8148,0.8059,0.8148,1420726
1971-04-02,0.8148,0.8241,0.7968,0.7968,1176871
1971-04-05,0.8059,0.8148,0.8059,0.8148,1145063
1971-04-06,0.8148,0.8241,0.8059,0.8059,837594
1971-04-07,0.8059,0.8148,0.8059,0.8148,2576392
1971-04-08,0.8148,0.8148,0.8059,0.8059,901209
1971-04-12,0.8148,0.8331,0.8148,0.8241,1388919
1971-04-13,0.8241,0.8419,0.8148,0.8148,1908439
1971-04-14,0.8148,0.8241,0.8059,0.8059,1335906
1971-04-15,0.8148,0.8241,0.8148,0.8148,1950848
1971-04-16,0.8148,0.8331,0.8148,0.8331,2141693
1971-04-19,0.8419,0.8693,0.8419,0.8602,3700251
1971-04-20,0.8602,0.8783,0.8512,0.8602,1972053
1971-04-21,0.8602,0.8693,0.8419,0.8693,1547956
1971-04-22,0.8693,0.8964,0.8693,0.8872,3064104
1971-04-23,0.8872,0.8964,0.8783,0.8964,3859287
1971-04-26,0.9054,0.9509,0.9054,0.9509,3795672
1971-04-27,0.9509,0.9689,0.8512,0.8512,13231840
1971-04-28,0.9145,0.9415,0.9145,0.9145,4972543
1971-04-29,0.9145,0.9237,0.8783,0.8964,5195194
1971-04-30,0.8964,0.9054,0.8872,0.8964,1367714
1971-05-03,0.8964,0.9145,0.8872,0.9145,3042899
1971-05-04,0.9145,0.9326,0.9145,0.9237,1335906
1971-05-05,0.9237,0.9599,0.9237,0.9599,1876632
1971-05-06,0.9599,0.9689,0.9326,0.9326,1600968
1971-05-07,0.9326,0.9509,0.9145,0.9326,2873260
1971-05-10,0.9326,0.9599,0.9326,0.9509,1410124
1971-05-11,0.9509,0.9959,0.9509,0.987,2777840
1971-05-12,0.987,1.0051,0.987,1.0051,5025555
1971-05-13,1.0051,1.0231,1.0051,1.0142,2343137
1971-05-14,1.0142,1.0231,0.9599,0.987,2205307
1971-05-17,0.987,0.987,0.9599,0.9599,1717595
1971-05-18,0.9689,0.987,0.9689,0.9777,1653981
1971-05-19,0.9777,0.987,0.9689,0.9777,1240484
1971-05-20,0.9777,1.0051,0.9777,0.987,1113256
1971-05-21,0.9959,1.0051,0.9959,0.9959,604338
1971-05-24,0.9959,0.9959,0.9689,0.9689,1919041
1971-05-25,0.9689,0.9689,0.9415,0.9509,4007722
1971-05-26,0.9509,0.9777,0.9415,0.9415,1219279
1971-05-27,0.9415,0.9509,0.9415,0.9415,636149
1971-05-28,0.9415,0.9689,0.9415,0.9689,826991
1971-06-01,0.9689,0.987,0.9689,0.987,837594
1971-06-02,0.987,1.0051,0.9777,0.9777,2321934
1971-06-03,0.9777,0.9777,0.9599,0.9599,678556
1971-06-04,0.9415,0.9415,0.9237,0.9326,2194703
1971-06-07,0.9237,0.9237,0.9054,0.9054,2014463
1971-06-08,0.9145,0.9237,0.9145,0.9145,986027
1971-06-09,0.9145,0.9145,0.9054,0.9145,1187472
1971-06-10,0.9145,0.9145,0.8964,0.9054,1760005
1971-06-11,0.9054,0.9054,0.8964,0.9054,2109886
1971-06-14,0.9054,0.9054,0.8964,0.8964,1314704
1971-06-15,0.8964,0.8964,0.8783,0.8872,1738798
1971-06-16,0.8872,0.9145,0.8783,0.8964,4400011
1971-06-17,0.8964,0.9054,0.8872,0.9054,6032786
1971-06-18,0.9054,0.9054,0.8783,0.8872,1325305
1971-06-21,0.8872,0.8964,0.8783,0.8783,2247715
1971-06-22,0.8783,0.8964,0.8783,0.8783,2353740
1971-06-23,0.8783,0.8964,0.8783,0.8872,2268923
1971-06-24,0.8964,0.9054,0.8964,0.8964,3021694
1971-06-25,0.8964,0.8964,0.8783,0.8783,1092052
1971-06-28,0.8783,0.8872,0.8783,0.8783,1198075
1971-06-29,0.8783,0.9054,0.8783,0.8964,2491571
1971-06-30,0.8964,0.9145,0.8964,0.9054,1717595
1971-07-01,0.9054,0.9145,0.8872,0.8964,848196
1971-07-02,0.8964,0.9054,0.8872,0.8964,1219279
1971-07-06,0.8964,0.9054,0.8872,0.9054,752773
1971-07-07,0.9054,0.9237,0.9054,0.9237,1791812
1971-07-08,0.9237,0.9415,0.9237,0.9237,2184103
1971-07-09,0.9145,0.9145,0.9054,0.9145,572531
1971-07-12,0.9145,0.9237,0.9145,0.9145,689158
1971-07-13,0.8964,0.8964,0.8512,0.8512,3371574
1971-07-14,0.8512,0.8964,0.8512,0.8964,3922901
1971-07-15,0.8964,0.9054,0.8693,0.8783,2385549
1971-07-16,0.8783,0.8872,0.8693,0.8693,1643378
1971-07-19,0.8693,0.8693,0.8512,0.8693,2215908
1971-07-20,0.8783,0.8964,0.8783,0.8783,2343137
1971-07-21,0.8783,0.8783,0.8419,0.8419,1304100
1971-07-22,0.8419,0.8602,0.8241,0.8512,2491571
1971-07-23,0.8512,0.8602,0.8419,0.8602,1950848
1971-07-26,0.8602,0.8602,0.8419,0.8512,540725
1971-07-27,0.8512,0.8512,0.8241,0.8241,1166269
1971-07-28,0.8241,0.8331,0.8148,0.8241,3604830
1971-07-29,0.8148,0.8148,0.7877,0.8059,3413984
1971-07-30,0.8059,0.8241,0.7968,0.8059,1834222
1971-08-02,0.8059,0.8331,0.8059,0.8059,1961451
1971-08-03,0.8059,0.8059,0.7787,0.7877,4506035
1971-08-04,0.7877,0.8059,0.7877,0.7968,3371574
1971-08-05,0.7968,0.8148,0.7968,0.8148,1441931
1971-08-06,0.8148,0.8241,0.8148,0.8148,2099282
1971-08-09,0.8148,0.8148,0.8059,0.8148,1007231
1971-08-10,0.8148,0.8148,0.7968,0.8059,1463137
1971-08-11,0.8059,0.8241,0.8059,0.8241,1113256
1971-08-12,0.8241,0.8512,0.8241,0.8331,4410613
1971-08-13,0.8331,0.8331,0.8148,0.8148,1325305
1971-08-16,0.8602,0.8964,0.8602,0.8602,4368204
1971-08-17,0.8602,0.8693,0.8512,0.8602,3371574
1971-08-18,0.8602,0.8693,0.8419,0.8512,1993259
1971-08-19,0.8512,0.8512,0.8419,0.8419,2523380
1971-08-20,0.8419,0.8512,0.8419,0.8512,1728199
1971-08-23,0.8602,0.8783,0.8602,0.8783,3360972
1971-08-24,0.8783,0.9145,0.8783,0.9054,3074707
1971-08-25,0.9145,0.9415,0.9145,0.9326,3350370
1971-08-26,0.9326,0.9326,0.9145,0.9237,2321934
1971-08-27,0.9237,0.9326,0.9145,0.9326,689158
1971-08-30,0.9326,0.9415,0.9145,0.9145,837594
1971-08-31,0.9145,0.9145,0.8964,0.9145,1102652
1971-09-01,0.9145,0.9237,0.9054,0.9054,837594
1971-09-02,0.9054,0.9145,0.9054,0.9145,508917
1971-09-03,0.9237,0.9326,0.9237,0.9237,1781207
1971-09-07,0.9237,0.9237,0.9054,0.9054,858798
1971-09-08,0.9054,0.9145,0.9054,0.9145,795182
1971-09-09,0.9145,0.9145,0.8964,0.9054,848196
1971-09-10,0.9054,0.9054,0.8964,0.8964,805784
1971-09-13,0.8964,0.9054,0.8964,0.9054,1155666
1971-09-14,0.9054,0.9054,0.8872,0.8872,1897834
1971-09-15,0.8872,0.8964,0.8783,0.8964,922411
1971-09-16,0.8964,0.9054,0.8964,0.9054,1357112
1971-09-17,0.9054,0.9145,0.9054,0.9145,583133
1971-09-20,0.9145,0.9145,0.9145,0.9145,1102652
1971-09-21,0.9145,0.9145,0.8964,0.8964,720965
1971-09-22,0.8964,0.8964,0.8783,0.8872,1304100
1971-09-23,0.8872,0.8964,0.8872,0.8872,1007231
1971-09-24,0.8872,0.8964,0.8872,0.8872,625543
1971-09-27,0.8872,0.8964,0.8783,0.8783,954219
1971-09-28,0.8783,0.8872,0.8783,0.8783,519520
1971-09-29,0.8783,0.8783,0.8602,0.8693,1993259
1971-09-30,0.8693,0.8693,0.8512,0.8602,1622173
1971-10-01,0.8602,0.8693,0.8602,0.8693,975423
1971-10-04,0.8693,0.8693,0.7877,0.7877,10443400
1971-10-05,0.7877,0.8241,0.7877,0.8148,7135440
1971-10-06,0.8241,0.8512,0.8241,0.8419,3191335
1971-10-07,0.8419,0.8419,0.8241,0.8241,2555188
1971-10-08,0.8241,0.8241,0.8059,0.8148,1611571
1971-10-11,0.8148,0.8148,0.7968,0.8148,1123858
1971-10-12,0.8148,0.8241,0.7968,0.7968,1176871
1971-10-13,0.7968,0.8059,0.7698,0.7787,7792791
1971-10-14,0.7787,0.7877,0.7605,0.7605,6711340
1971-10-15,0.7605,0.7787,0.7516,0.7787,3435189
